mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.004736423492431641,0.0009313848325900791,0.0005544662475585937,5.3055414493152304e-05,squared_error,3,4,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 4}",-0.010083311756020237,-0.009644555475233655,-0.00949640141087983,-0.009169544527855405,-0.010761448859246748,-0.009831052405847177,0.0005502067623092817,5,-0.009512853081634434,-0.009559044322220168,-0.00958373040979675,-0.00966377594937514,-0.009300344962617174,-0.009523949745128733,0.0001220483177320213
0.004676198959350586,0.0008950651679330479,0.0007883548736572265,0.000423325426570896,squared_error,3,8,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 8}",-0.010083311756020237,-0.009644555475233655,-0.00949640141087983,-0.009169544527855405,-0.010761448859246748,-0.009831052405847177,0.0005502067623092817,5,-0.009512853081634434,-0.009559044322220168,-0.00958373040979675,-0.00966377594937514,-0.009300344962617174,-0.009523949745128733,0.0001220483177320213
0.006200456619262695,0.0012639992302207175,0.0008545398712158203,0.00036998155542705723,squared_error,3,16,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 16}",-0.009836461443663732,-0.009644555475233655,-0.00949640141087983,-0.009169544527855405,-0.010761448859246748,-0.009781682343375874,0.0005362545792909515,3,-0.009523150351831046,-0.009559044322220168,-0.00958373040979675,-0.00966377594937514,-0.009300344962617174,-0.009526009199168056,0.00012193051762403076
0.007077169418334961,0.0014966884509275524,0.0010949134826660155,0.00029544695643936254,squared_error,3,32,"{'criterion': 'squared_error', 'max_depth': 3, 'min_samples_leaf': 32}",-0.009836461443663732,-0.009678219722551415,-0.00949640141087983,-0.009165760281338961,-0.01059569286204177,-0.009754507144095141,0.0004761031669512001,1,-0.009523150351831046,-0.009559301851093046,-0.00958373040979675,-0.009663963102166613,-0.009316617405714635,-0.009529352624120418,0.00011599019088082591
0.007876157760620117,0.001968385105908863,0.0005020618438720704,3.505268837489009e-05,squared_error,5,4,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 4}",-0.010283777098709826,-0.009855215289211223,-0.010108638439319244,-0.010321460323153946,-0.011174260982208677,-0.010348670426520584,0.0004444467632411731,19,-0.009227683641704492,-0.009133791012086362,-0.009178961625696256,-0.0092226788032055,-0.008927030574349154,-0.009138029131408352,0.00011083078992489943
0.008367586135864257,0.0017147566458609877,0.0005243301391601562,4.409632671742618e-05,squared_error,5,8,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 8}",-0.010394760278201229,-0.009796020646805821,-0.009935436854552275,-0.010046884081410098,-0.011194198840929153,-0.010273460140379716,0.0005012022347134667,17,-0.009250693517371296,-0.009147209754635248,-0.009236063220004727,-0.009200810763826731,-0.008965210057191185,-0.009159997462605837,0.00010371418238461539
0.007450532913208008,0.0015397081983532816,0.00048818588256835935,2.2974744668754114e-05,squared_error,5,16,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 16}",-0.009913554389965516,-0.009788550381985523,-0.009977836822560903,-0.009894701413122913,-0.011213356994328473,-0.010157600000392666,0.0005313773006729201,15,-0.009320166751329953,-0.009176708510739703,-0.009293448996124649,-0.009242695299807271,-0.009043467697649207,-0.009215297451130157,9.886399417718984e-05
0.007815933227539063,0.001090690496641476,0.0004969120025634765,1.0541660691566828e-05,squared_error,5,32,"{'criterion': 'squared_error', 'max_depth': 5, 'min_samples_leaf': 32}",-0.009970164384900277,-0.010123705689736187,-0.009916276939652344,-0.009658417337513136,-0.010770656136680686,-0.010087844097696527,0.00037288322066032754,13,-0.009300647623769765,-0.009162411836637865,-0.009312953266754511,-0.009336411374062199,-0.009111512592302369,-0.009244787338705342,9.023282154405163e-05
0.014232206344604491,0.0030907940151637223,0.000889730453491211,0.0006585377937464753,squared_error,10,4,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 4}",-0.013834174057792423,-0.0111032798135527,-0.012454554946435237,-0.011853848986031798,-0.014608688605111317,-0.012770909281784695,0.001282967849948091,45,-0.007048341310749059,-0.007022425021548818,-0.007005327019779221,-0.006900838435709154,-0.006933487127914022,-0.006982083783140055,5.5713849102356263e-05
0.012407779693603516,0.0013705666824958707,0.0005361557006835938,3.17028224691231e-05,squared_error,10,8,"{'criterion': 'squared_error', 'max_depth': 10, 'min_samples_leaf': 8}",-0.01277543264317062,-0.011454867481961579,-0.012195049249821966,-0.011648411099320263,-0.01431444863111609,-0.012477641821078104,0.0010272378625338816,41,-0.007542312932282527,-0.007473898432441246,-0.007617550989767581,-0.0072371153187186475,-0.007324269232769943,-0.007439029381195989,0.00013978017576155106
